
******2019/12/4 16:43:51******
temp:100
0.000000 r/s
0.000000 m/s

0.496154 r/s
0.202633 m/s

0.730769 r/s
0.298451 m/s

0.750000 r/s
0.306305 m/s

0.865385 r/s
0.353429 m/s

0.800000 r/s
0.326726 m/s

0.919231 r/s
0.375420 m/s

0.911538 r/s
0.372279 m/s

0.900000 r/s
0.367566 m/s

0.930769 r/s
0.380133 m/s

0.900000 r/s
0.367566 m/s

0.980769 r/s
0.400553 m/s

0.838462 r/s
0.342434 m/s

0.892308 r/s
0.364425 m/s

0.930769 r/s
0.380133 m/s

0.853846 r/s
0.348717 m/s

0.900000 r/s
0.367566 m/s

0.969231 r/s
0.395841 m/s

0.861538 r/s
0.351858 m/s

0.969231 r/s
0.395841 m/s

0.953846 r/s
0.389557 m/s

0.930769 r/s
0.380133 m/s

0.957692 r/s
0.391128 m/s

0.934615 r/s
0.381703 m/s

1.007692 r/s
0.411549 m/s

0.861538 r/s
0.351858 m/s

0.903846 r/s
0.369137 m/s

0.946154 r/s
0.386416 m/s

0.861538 r/s
0.351858 m/s

0.907692 r/s
0.370708 m/s

0.976923 r/s
0.398982 m/s

0.873077 r/s
0.356571 m/s

0.973077 r/s
0.397411 m/s

0.946154 r/s
0.386416 m/s

0.926923 r/s
0.378562 m/s

0.961538 r/s
0.392699 m/s

0.934615 r/s
0.381703 m/s

1.007692 r/s
0.411549 m/s

0.857692 r/s
0.350288 m/s

0.911538 r/s
0.372279 m/s

0.957692 r/s
0.391128 m/s

0.873077 r/s
0.356571 m/s

0.919231 r/s
0.375420 m/s

0.984615 r/s
0.402124 m/s

0.876923 r/s
0.358142 m/s

0.980769 r/s
0.400553 m/s

0.946154 r/s
0.386416 m/s

0.930769 r/s
0.380133 m/s

0.961538 r/s
0.392699 m/s

0.930769 r/s
0.380133 m/s

1.003846 r/s
0.409978 m/s

0.865385 r/s
0.353429 m/s

0.919231 r/s
0.375420 m/s

0.961538 r/s
0.392699 m/s

0.876923 r/s
0.358142 m/s

0.926923 r/s
0.378562 m/s

1.000000 r/s
0.408407 m/s

0.892308 r/s
0.364425 m/s

0.984615 r/s
0.402124 m/s

0.957692 r/s
0.391128 m/s

0.942308 r/s
0.384845 m/s

0.961538 r/s
0.392699 m/s

0.930769 r/s
0.380133 m/s

1.007692 r/s
0.411549 m/s

0.865385 r/s
0.353429 m/s

0.911538 r/s
0.372279 m/s

0.957692 r/s
0.391128 m/s

0.880769 r/s
0.359712 m/s

0.930769 r/s
0.380133 m/s

1.003846 r/s
0.409978 m/s

0.888462 r/s
0.362854 m/s

0.984615 r/s
0.402124 m/s

0.976923 r/s
0.398982 m/s

0.950000 r/s
0.387987 m/s

0.965385 r/s
0.394270 m/s

0.938462 r/s
0.383274 m/s

1.011538 r/s
0.413119 m/s

0.865385 r/s
0.353429 m/s

0.911538 r/s
0.372279 m/s

0.957692 r/s
0.391128 m/s

0.869231 r/s
0.355000 m/s

0.923077 r/s
0.376991 m/s

0.992308 r/s
0.405265 m/s

0.884615 r/s
0.361283 m/s

0.992308 r/s
0.405265 m/s

0.965385 r/s
0.394270 m/s

0.946154 r/s
0.386416 m/s

0.965385 r/s
0.394270 m/s

0.938462 r/s
0.383274 m/s

1.019231 r/s
0.416261 m/s

0.865385 r/s
0.353429 m/s

0.907692 r/s
0.370708 m/s

0.957692 r/s
0.391128 m/s

0.873077 r/s
0.356571 m/s

0.915385 r/s
0.373849 m/s

0.984615 r/s
0.402124 m/s

0.880769 r/s
0.359712 m/s

0.984615 r/s
0.402124 m/s

0.965385 r/s
0.394270 m/s

0.942308 r/s
0.384845 m/s

0.973077 r/s
0.397411 m/s

0.946154 r/s
0.386416 m/s

1.023077 r/s
0.417832 m/s

0.869231 r/s
0.355000 m/s

0.923077 r/s
0.376991 m/s

0.969231 r/s
0.395841 m/s

0.880769 r/s
0.359712 m/s

0.919231 r/s
0.375420 m/s

0.992308 r/s
0.405265 m/s

0.880769 r/s
0.359712 m/s

0.980769 r/s
0.400553 m/s

0.957692 r/s
0.391128 m/s

0.942308 r/s
0.384845 m/s

0.969231 r/s
0.395841 m/s

0.942308 r/s
0.384845 m/s

1.019231 r/s
0.416261 m/s

0.876923 r/s
0.358142 m/s

0.923077 r/s
0.376991 m/s

0.965385 r/s
0.394270 m/s

0.876923 r/s
0.358142 m/s

0.873077 r/s
0.356571 m/s

0.923077 r/s
0.376991 m/s

0.826923 r/s
0.337721 m/s

0.896154 r/s
0.365996 m/s

0.880769 r/s
0.359712 m/s

0.861538 r/s
0.351858 m/s

0.915385 r/s
0.373849 m/s

0.900000 r/s
0.367566 m/s

0.980769 r/s
0.400553 m/s

0.842308 r/s
0.344004 m/s

0.896154 r/s
0.365996 m/s

0.946154 r/s
0.386416 m/s

0.865385 r/s
0.353429 m/s

0.915385 r/s
0.373849 m/s

0.984615 r/s
0.402124 m/s

0.876923 r/s
0.358142 m/s

0.984615 r/s
0.402124 m/s

0.950000 r/s
